Table S2. The 199 full text records screened with reasons for exclusion.;;;;;;;;;;;;;;
source;title;year;journal;volume;issue;pages;authors;coop_breeding_definition;data_available;territory_area;group_size_definition;decision;notes;
scopus / web of science;Population growth, range expansion, and competition in the cooperatively breeding brown jay, Cyanocorax morio;1994;Animal Behaviour;48;2;309-322;Williams, D.A. and Lawton, M.F. and Lawton, R.O.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Breeding biology of white-winged trumpeters (Psophia leucoptera) in Peru;1995;Auk;112;2;285-295;Sherman, P.T.;yes;no;NA;NA;exclude;"no usable data or results reported; note that offspring are precocial but are still fed by group members";
scopus / web of science;Demography of the cooperatively breeding splendid fairy-wren, Malurus splendens (Maluridae);1993;Australian Journal of Zoology;41;5;475-505;Russell, E.M. and Rowley, I.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Influence of age on reproductive performance in the Seychelles warbler;1996;Behavioral Ecology;7;4;417-425;Komdeur, J.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Geographic variation in social organization of Galápagos mockingbirds: ecological correlates of group territoriality and cooperative breeding;1989;Behavioral Ecology and Sociobiology;25;2;147-160;Curry, R.L.;yes;no;NA;NA;exclude;results state that ‘group size correlated positively with territory size’ and Fig 3 has mean group and territory size for each island, but no usable data;
scopus / web of science;Poor acorn crop, dominance, and decline in numbers of acorn woodpeckers.;1987;Journal of Animal Ecology;56;1;197-207;Hannon, S.J. and Mumme, R.L. and Koenig, W.D. and Spon, S. and Pitelka, F.A.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Variation of secondary sex-ratio in birds and other tetrapodes. The case of Colius striatus nigricollis (Coliiformes);1997;Revue d'Ecologie (La Terre et la Vie);52;1;37-68;Decoux, J.-P.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;The purple-crowned fairy-wren malurus coronatus. II. breeding biology, social organisation, demography and management;1993;Emu;93;4;235-250;Rowley, I. and Russell, E.;yes;no;NA;NA;exclude;Table 7 has summary data, but not pared by group size;
scopus / web of science;Size determinants in territories with inflexible boundaries: Manipulation experiments on White-winged Trumpeters' territories;1998;Ecology;79;4;1147-1159;Sherman, P.T. and Eason, P.K.;yes;no;NA;NA;exclude;"no usable data or results reported; note that offspring are precocial but are still fed by group members";
scopus / web of science;Demography of the cooperatively breeding Galapagos mockingbird, Nesomimus parvulus, in a climatically variable environment;1989;Journal of Animal Ecology;58;2;441-463;Curry, R.L. and Grant, P.R.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Variable mating patterns in Tasmanian native hens (Gallinula mortierii): Correlates of reproductive success;1998;Journal of Animal Ecology;67;2;307-317;Goldizen, A.W. and Putland, D.A. and Goldizen, A.R.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Obligate cavity-roosting as a constraint on dispersal of green (red-billed) woodhoopoes: consequences for philopatry and the likelihood of inbreeding;1992;Oecologia;90;2;205-211;Du Plessis, M.A.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Correlates of abundance and breeding success in the globally threatened Hinde's babbler (Turdoides hindei) and its congener, northern pied babbler (T. hypoleucus);2003;BIOLOGICAL CONSERVATION;114;2;281-288;Shaw, P and Masina, J;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;Group breeding dramatically increases reproductive success of yearling but not older female scrubwrens: a model for cooperatively breeding birds?;2001;JOURNAL OF ANIMAL ECOLOGY;70;3;370-385;Magrath, RD;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
scopus / web of science;The ecology and breeding biology of the red-winged fairy-wren Malurus elegans;1988;EMU;88;;161-176;Rowley, I., Russell, E., Brown, R. and Brown, M.;yes;no;NA;NA;exclude;group size vs territory quality not investigated and no supplementary data;
